,name,protein,calcium,fat,carbohydrates,vitamins
0,apple pie,2.94,0.0,17.6,40.4,0.0
1,baby back ribs,18.8,0.026,9.82,0.0,0.0
2,baklava,5.62,0.027,27.2,38.6,0.0013
3,beef carpaccio,27.1,0.012,14.9,0.0,0.0
4,beef tartare,15.7,0.032,13.8,1.56,0.0052
5,beet salad,1.32,0.018,5.29,11.0,0.4542
6,beignets,5.46,0.09,20.2,53.7,0.44210000000000005
7,bibimbap,5.47,0.031,2.88,8.61,0.4511
8,bread pudding,4.42,0.044,12.4,43.4,0.398
9,breakfast burrito,5.29,0.088,8.24,22.4,0.30110000000000003
10,bruschetta,4.29,0.05,7.61,21.4,0.30160000000000003
11,caesar salad,4.0,0.1,16.0,8.0,4.506
12,cannoli,6.32,0.021,14.7,42.1,0.0
13,caprese salad,5.76,0.079,10.5,9.42,0.0
14,carrot cake,2.33,0.023,16.3,58.1,1.45
15,ceviche,10.3,0.025,0.75,3.58,1.466
16,cheese plate,6.46,0.146,11.5,15.6,0.27
17,cheesecake,5.5,0.051,22.5,25.5,0.2544
18,chicken curry,6.47,0.02,6.45,6.47,0.2626
19,chicken quesadilla,10.6,0.133,5.31,15.0,0.2661
20,chicken wings,18.6,0.0,18.6,0.0,0.0
21,chocolate cake,4.65,0.0,3.49,83.7,0.0
22,chocolate mousse,1.19,0.036,23.8,19.0,0.0007
23,churros,6.05,0.11,22.2,48.9,0.0012
24,clam chowder,3.67,0.041,8.57,6.53,0.4117
25,club sandwich,14.0,0.171,12.3,20.2,0.7741
26,crab cakes,8.24,0.024,10.0,9.41,0.2392
27,creme brulee,4.08,0.116,2.66,17.9,0.235
28,croque madame,15.0,0.0,7.5,70.0,0.0
29,cup cakes,2.22,0.222,13.3,60.0,0.0
30,deviled eggs,10.7,0.0,25.0,0.0,0.714
31,donuts,3.51,0.175,17.5,61.4,0.0
32,dumplings,9.21,0.026,1.97,23.7,0.2693
33,edamame,10.6,0.059,4.71,8.24,0.2693
34,eggs benedict,13.8,0.061,21.6,8.63,0.26439999999999997
35,escargots,17.0,0.169,0.85,1.69,0.169
36,falafel,8.24,0.086,41.2,29.0,0.1766
37,filet mignon,15.2,0.0,15.2,0.0,0.089
38,fish and_chips,13.9,0.033,13.1,10.3,0.0895
39,foie gras,11.4,0.07,43.8,4.67,3.332
40,french fries,2.38,0.0,8.33,22.6,0.0029
41,french onion soup,4.21,0.088,3.51,6.32,0.1421
42,french toast,4.55,0.036,14.6,38.2,0.0
43,fried calamari,2.07,0.05,18.1,34.0,0.0068
44,fried rice,3.33,0.0,5.0,31.7,0.0
45,frozen yogurt,3.12,0.104,8.33,21.9,0.417
46,garlic bread,5.26,0.0,7.89,36.8,0.351
47,gnocchi,3.33,0.0,0.0,33.3,0.001
48,greek salad,1.88,0.031,4.7,4.08,4.0838
49,grilled cheese sandwich,11.5,0.224,12.8,31.4,0.0698
50,grilled salmon,8.1,0.032,5.33,15.6,0.0064
51,guacamole,3.57,0.0,7.14,10.7,0.37410000000000004
52,gyoza,3.33,0.0,0.0,33.3,0.37410000000000004
53,hamburger,9.3,0.093,4.65,46.5,0.0
54,hot and sour soup,2.58,0.019,1.21,4.35,0.0
55,hot dog,19.3,0.035,14.0,1.75,0.2651
56,huevos rancheros,6.82,0.048,6.54,8.76,0.264
57,hummus,7.14,0.071,28.6,21.4,0.36560000000000004
58,ice cream,3.08,0.123,12.3,29.2,0.308
59,lasagna,8.24,0.176,7.94,17.1,0.6691
60,lobster bisque,5.23,0.053,2.57,1.7,0.6633
61,lobster roll sandwich,21.6,0.052,8.12,16.5,0.6624
62,macaroni and cheese,5.73,0.097,2.2,14.1,0.6624
63,macarons,10.0,0.083,23.3,53.3,0.6624
64,miso soup,1.92,0.027,0.8,2.08,0.6624
65,mussels,14.1,0.047,2.35,0.0,0.6632
66,nachos,4.32,0.063,21.5,34.9,0.6631
67,omelette,2.35,0.047,0.0,4.71,3.5441
68,onion rings,7.14,0.071,25.0,57.1,0.357
69,oysters,4.96,0.096,10.8,18.4,0.3588
70,pad thai,4.46,0.033,3.72,25.3,0.3588
71,paella,13.3,0.067,3.33,82.2,1.338
72,pancakes,6.45,0.097,2.42,53.2,0.161
73,panna cotta,3.0,0.15,10.0,30.0,0.161
74,peking duck,0.0,0.15,0.0,66.7,0.161
75,pho,6.15,0.011,2.26,10.4,0.1625
76,pizza,10.7,0.043,10.0,27.9,0.6794
77,pork chop,27.7,0.008,10.5,0.0,0.679
78,poutine,11.2,0.188,18.8,20.0,0.375
79,prime rib,16.7,0.01,29.2,0.06,0.0
80,pulled pork sandwich,13.2,0.044,4.42,18.7,0.2642
81,ramen,12.7,0.036,2.73,63.6,0.7281
82,ravioli,12.1,0.248,7.09,23.4,0.284
83,red velvet cake,3.26,0.022,17.4,67.4,0.284
84,risotto,12.9,0.0,1.43,109.0,0.0
85,samosa,11.8,0.024,7.06,9.41,0.3558
86,sashimi,19.7,0.024,0.34,4.08,0.3558
87,scallops,15.2,0.023,0.89,2.68,0.3558
88,seaweed salad,1.0,0.1,2.5,11.0,0.2
89,shrimp and grits,8.82,0.074,8.33,9.8,0.3798
90,spaghetti bolognese,1.41,0.027,1.48,8.05,0.37
91,spaghetti carbonara,18.0,0.2,10.0,58.0,0.6
92,spring rolls,9.6,0.095,6.0,44.6,0.6
93,steak,0.0,0.0,0.0,111.0,0.0
94,strawberry shortcake,2.96,0.044,13.3,31.1,0.30269999999999997
95,sushi,2.92,0.006,0.67,18.4,0.2969
96,tacos,6.69,0.095,9.17,15.1,0.0629
97,octopus balls,12.3,0.035,0.8,0.0,0.0
98,tiramisu,5.9,0.066,24.3,29.6,0.0011
99,tuna tartare,15.7,0.032,13.8,1.56,0.0052
100,waffles,2.86,0.086,10.0,48.6,0.0
